formula,pressure,Tc_list,Tc_mean,Tc_std,method,ref
CaCH5,500.0,['46'],46.0,0.0,comput,['[10.1038/s41598-022-10249-1]']
AlH5,250.0,[146.0],146.0,0.0,comput,['[10.1039/c4ra14990d]']
TlHPd3,0.0,['0.0'],0.0,0.0,comput,['[10.1038/s41524-022-00817-4]']
VH5,200.0,"['14.51', 18.5]",16.505,1.995,comput,"['[10.1016/j.physb.2022.414603]', '[10.1021/acs.inorgchem.7b01686]']"
VH5,250.0,['15.50'],15.5,0.0,comput,['[10.1016/j.physb.2022.414603]']
VH5,300.0,['25.1'],25.1,0.0,comput,['[10.1021/acs.inorgchem.7b01686]']
VH5,150.0,['6.094'],6.094,0.0,comput,['[10.1016/j.physb.2022.414603]']
ZnHRh3,0.0,['1.19'],1.19,0.0,comput,['[10.1038/s41524-022-00817-4]']
GaHNi3,0.0,['0.0'],0.0,0.0,comput,['[10.1038/s41524-022-00817-4]']
LiSeH4,200.0,['70'],70.0,0.0,comput,['[10.1039/D1CP04963A]']
LiSeH4,250.0,['76'],76.0,0.0,comput,['[10.1039/D1CP04963A]']
LiSeH4,150.0,['74'],74.0,0.0,comput,['[10.1039/D1CP04963A]']
PtHRh3,0.0,['1.04'],1.04,0.0,comput,['[10.1038/s41524-022-00817-4]']
TiPH3,250.0,['30.51'],30.51,0.0,comput,['[10.1016/j.physleta.2019.126189]']
LiH3,300.0,"[137.0, 104.0, 140.0, 112.0]",123.25,15.54630181104175,comput,"['[10.1103/PhysRevB.104.054501]', '[10.1103/PhysRevB.104.054501]', '[10.1103/PhysRevB.104.054501]', '[10.1103/PhysRevB.104.054501]']"
PdCuH2,0.0,['45'],45.0,0.0,comput,['[10.1063/5.0076728]']
NaBH3,300.0,['86.8'],86.8,0.0,comput,['[10.1103/PhysRevB.106.174104]']
CrH,0.0,[10.6],10.6,0.0,comput,['[10.1038/srep17764]']
CrH,60.0,[4.3],4.3,0.0,comput,['[10.1038/srep17764]']
CrH,120.0,[3.3],3.3,0.0,comput,['[10.1038/srep17764]']
CrH,200.0,[3.1],3.1,0.0,comput,['[10.1038/srep17764]']
ZrH4,140.0,[78.0],78.0,0.0,comput,['[10.1103/PhysRevB.98.134103]']
ZrH4,230.0,[47.0],47.0,0.0,comput,['[10.1103/PhysRevB.98.134103]']
GeH3,180.0,"[100.0, 160.0, 110.0]",123.33333333333333,26.246692913372705,comput,"['[10.1103/PhysRevB.88.174110,10.1103/PhysRevB.100.174506]', '[10.1103/PhysRevB.88.174110,10.1103/PhysRevB.100.174506]', '[10.1103/PhysRevB.88.174110,10.1103/PhysRevB.100.174506]']"
H3Se,200.0,[116.0],116.0,0.0,comput,['[10.1038/srep15433]']
H3Se,250.0,[111.0],111.0,0.0,comput,['[10.1038/srep15433]']
H3Se,300.0,[110.0],110.0,0.0,comput,['[10.1038/srep15433]']
PtHMo3,0.0,['5.47'],5.47,0.0,comput,['[10.1038/s41524-022-00817-4]']
BeH2,290.0,['37.0'],37.0,0.0,comput,['[10.1063/1.4898145]']
BeH2,230.0,['42.0'],42.0,0.0,comput,['[10.1063/1.4898145]']
BeH2,390.0,['30.0'],30.0,0.0,comput,['[10.1063/1.4898145]']
BeH2,300.0,['45.0'],45.0,0.0,comput,['[10.1063/1.4869145]']
BeH2,365.0,['50.0'],50.0,0.0,comput,['[10.1063/1.4898145]']
BeH2,270.0,['45.0'],45.0,0.0,comput,['[10.1063/1.4898145]']
BeH2,400.0,[62.4],62.4,0.0,comput,['[10.1063/1.4898145]']
BeH2,310.0,['33.0'],33.0,0.0,comput,['[10.1063/1.4898145]']
BeH2,250.0,"[38.0, 44.1]",41.05,3.0500000000000007,comput,"['[10.1063/1.4869145]', '[10.1063/1.4898145]']"
BeH2,350.0,['39.0'],39.0,0.0,comput,['[10.1063/1.4898145]']
SrH10,500.0,"[275.0, 239.0, 319.0, 285.0, 199.0, 165.0, 228.0, 190.0]",237.5,49.23413450036468,comput,"['[10.1103/PhysRevB.104.054501]', '[10.1103/PhysRevB.104.054501]', '[10.1103/PhysRevB.104.054501]', '[10.1103/PhysRevB.104.054501]', '[10.1103/PhysRevB.104.054501]', '[10.1103/PhysRevB.104.054501]', '[10.1103/PhysRevB.104.054501]', '[10.1103/PhysRevB.104.054501]']"
VHRu3,0.0,['9.51'],9.51,0.0,comput,['[10.1038/s41524-022-00817-4]']
SnH8,220.0,[81.0],81.0,0.0,comput,['[10.1038/srep22873]']
NaH24,100.0,"[57.0, 40.0, 55.0, 40.0]",48.0,8.031189202104505,comput,"['[10.1103/PhysRevB.104.054501]', '[10.1103/PhysRevB.104.054501]', '[10.1103/PhysRevB.104.054501]', '[10.1103/PhysRevB.104.054501]']"
VH11,200.0,['90.88'],90.88,0.0,comput,['[10.1016/j.physb.2022.414603]']
VH11,250.0,['76.31'],76.31,0.0,comput,['[10.1016/j.physb.2022.414603]']
VH11,150.0,['80.19'],80.19,0.0,comput,['[10.1016/j.physb.2022.414603]']
CSH48,300.0,['156'],156.0,0.0,comput,['[10.1103/PhysRevB.105.134501]']
SbHNb3,0.0,['6.4'],6.4,0.0,comput,['[10.1038/s41524-022-00817-4]']
YH9,300.0,"[255.0, 220.0, 293.0, 261.0]",257.25,25.907286619790966,comput,"['[10.1103/PhysRevB.104.054501]', '[10.1103/PhysRevB.104.054501]', '[10.1103/PhysRevB.104.054501]', '[10.1103/PhysRevB.104.054501]']"
PtHNb3,0.0,['10.75'],10.75,0.0,comput,['[10.1038/s41524-022-00817-4]']
AcH8,150.0,['134.0'],134.0,0.0,comput,['[10.1021/acs.jpclett.8b00615]']
YMgH8,300.0,[125.0],125.0,0.0,comput,['[10.1002/adts.202100364]']
ThNb2H12,100.0,['3.79'],3.79,0.0,comput,['[10.1016/j.jpcs.2022.111193]']
ThNb2H12,75.0,['4.65'],4.65,0.0,comput,['[10.1016/j.jpcs.2022.111193]']
ThNb2H12,15.0,['24.7'],24.7,0.0,comput,['[10.1016/j.jpcs.2022.111193]']
ThNb2H12,50.0,['10.4'],10.4,0.0,comput,['[10.1016/j.jpcs.2022.111193]']
ThNb2H12,25.0,['19.3'],19.3,0.0,comput,['[10.1016/j.jpcs.2022.111193]']
